@relation 'german_credit-weka.filters.unsupervised.attribute.Remove-R4,7-8,10-20'

@attribute checking_status {<0,0<=X<200,>=200,'no checking'}
@attribute duration numeric
@attribute credit_history {'no credits/all paid','all paid','existing paid','delayed previously','critical/other existing credit'}
@attribute credit_amount numeric
@attribute savings_status {<100,100<=X<500,500<=X<1000,>=1000,'no known savings'}
@attribute personal_status {'male div/sep','female div/dep/mar','male single','male mar/wid','female single'}
@attribute class {good,bad}

@data

<0,6,'critical/other existing credit',1169,'no known savings','male single',good
0<=X<200,48,'existing paid',5951,<100,'female div/dep/mar',bad
'no checking',12,'critical/other existing credit',2096,<100,'male single',good
<0,42,'existing paid',7882,<100,'male single',good
<0,24,'delayed previously',4870,<100,'male single',bad
'no checking',36,'existing paid',9055,'no known savings','male single',good
'no checking',24,'existing paid',2835,500<=X<1000,'male single',good
0<=X<200,36,'existing paid',6948,<100,'male single',good
'no checking',12,'existing paid',3059,>=1000,'male div/sep',good
0<=X<200,30,'critical/other existing credit',5234,<100,'male mar/wid',bad
0<=X<200,12,'existing paid',1295,<100,'female div/dep/mar',bad
<0,48,'existing paid',4308,<100,'female div/dep/mar',bad
0<=X<200,12,'existing paid',1567,<100,'female div/dep/mar',good
<0,24,'critical/other existing credit',1199,<100,'male single',bad
<0,15,'existing paid',1403,<100,'female div/dep/mar',good
<0,24,'existing paid',1282,100<=X<500,'female div/dep/mar',bad
'no checking',24,'critical/other existing credit',2424,'no known savings','male single',good
<0,30,'no credits/all paid',8072,'no known savings','male single',good
0<=X<200,24,'existing paid',12579,<100,'female div/dep/mar',bad
'no checking',24,'existing paid',3430,500<=X<1000,'male single',good
'no checking',9,'critical/other existing credit',2134,<100,'male single',good
<0,6,'existing paid',2647,500<=X<1000,'male single',good
<0,10,'critical/other existing credit',2241,<100,'male single',good
0<=X<200,12,'critical/other existing credit',1804,100<=X<500,'male single',good
'no checking',10,'critical/other existing credit',2069,'no known savings','male mar/wid',good
<0,6,'existing paid',1374,<100,'male single',good
'no checking',6,'no credits/all paid',426,<100,'male mar/wid',good
>=200,12,'all paid',409,>=1000,'female div/dep/mar',good
0<=X<200,7,'existing paid',2415,<100,'male single',good
<0,60,'delayed previously',6836,<100,'male single',bad
0<=X<200,18,'existing paid',1913,>=1000,'male mar/wid',good
<0,24,'existing paid',4020,<100,'male single',good
0<=X<200,18,'existing paid',5866,100<=X<500,'male single',good
'no checking',12,'critical/other existing credit',1264,'no known savings','male single',good
>=200,12,'existing paid',1474,<100,'female div/dep/mar',good
0<=X<200,45,'critical/other existing credit',4746,<100,'male single',bad
'no checking',48,'critical/other existing credit',6110,<100,'male single',good
>=200,18,'existing paid',2100,<100,'male single',bad
>=200,10,'existing paid',1225,<100,'male single',good
0<=X<200,9,'existing paid',458,<100,'male single',good
'no checking',30,'existing paid',2333,500<=X<1000,'male single',good
0<=X<200,12,'existing paid',1158,500<=X<1000,'male div/sep',good
0<=X<200,18,'delayed previously',6204,<100,'male single',good
<0,30,'critical/other existing credit',6187,100<=X<500,'male mar/wid',good
<0,48,'critical/other existing credit',6143,<100,'female div/dep/mar',bad
'no checking',11,'critical/other existing credit',1393,<100,'female div/dep/mar',good
'no checking',36,'existing paid',2299,500<=X<1000,'male single',good
<0,6,'existing paid',1352,500<=X<1000,'female div/dep/mar',good
'no checking',11,'critical/other existing credit',7228,<100,'male single',good
'no checking',12,'existing paid',2073,100<=X<500,'female div/dep/mar',good
0<=X<200,24,'delayed previously',2333,'no known savings','male single',good
0<=X<200,27,'delayed previously',5965,<100,'male single',good
'no checking',12,'existing paid',1262,<100,'male single',good
'no checking',18,'existing paid',3378,'no known savings','male single',good
0<=X<200,36,'delayed previously',2225,<100,'male single',bad
'no checking',6,'all paid',783,'no known savings','male single',good
0<=X<200,12,'existing paid',6468,'no known savings','male single',bad
'no checking',36,'critical/other existing credit',9566,<100,'female div/dep/mar',good
>=200,18,'existing paid',1961,<100,'female div/dep/mar',good
<0,36,'critical/other existing credit',6229,<100,'female div/dep/mar',bad
0<=X<200,9,'existing paid',1391,<100,'male mar/wid',good
0<=X<200,15,'critical/other existing credit',1537,'no known savings','male single',good
0<=X<200,36,'no credits/all paid',1953,<100,'male single',bad
0<=X<200,48,'no credits/all paid',14421,<100,'male single',bad
'no checking',24,'existing paid',3181,<100,'female div/dep/mar',good
'no checking',27,'existing paid',5190,'no known savings','male single',good
'no checking',12,'existing paid',2171,<100,'female div/dep/mar',good
0<=X<200,12,'existing paid',1007,>=1000,'male mar/wid',good
'no checking',36,'existing paid',1819,<100,'male single',bad
'no checking',36,'existing paid',2394,'no known savings','female div/dep/mar',good
'no checking',36,'existing paid',8133,<100,'female div/dep/mar',good
'no checking',7,'critical/other existing credit',730,'no known savings','male single',good
<0,8,'critical/other existing credit',1164,<100,'male single',good
0<=X<200,42,'critical/other existing credit',5954,<100,'female div/dep/mar',good
<0,36,'existing paid',1977,'no known savings','male single',bad
<0,12,'critical/other existing credit',1526,<100,'male single',good
<0,42,'existing paid',3965,<100,'male single',bad
0<=X<200,11,'delayed previously',4771,<100,'male single',good
'no checking',54,'no credits/all paid',9436,'no known savings','male single',good
0<=X<200,30,'existing paid',3832,<100,'male mar/wid',good
'no checking',24,'existing paid',5943,'no known savings','female div/dep/mar',bad
'no checking',15,'existing paid',1213,500<=X<1000,'male single',good
'no checking',18,'existing paid',1568,100<=X<500,'female div/dep/mar',good
<0,24,'existing paid',1755,<100,'female div/dep/mar',good
<0,10,'existing paid',2315,<100,'male single',good
'no checking',12,'critical/other existing credit',1412,<100,'female div/dep/mar',good
0<=X<200,18,'critical/other existing credit',1295,<100,'female div/dep/mar',good
0<=X<200,36,'existing paid',12612,100<=X<500,'male single',bad
<0,18,'existing paid',2249,100<=X<500,'male single',good
<0,12,'no credits/all paid',1108,<100,'male single',bad
'no checking',12,'critical/other existing credit',618,<100,'male single',good
<0,12,'critical/other existing credit',1409,<100,'male single',good
'no checking',12,'critical/other existing credit',797,'no known savings','female div/dep/mar',bad
>=200,24,'critical/other existing credit',3617,'no known savings','male single',good
0<=X<200,12,'existing paid',1318,>=1000,'male single',good
0<=X<200,54,'no credits/all paid',15945,<100,'male single',bad
'no checking',12,'critical/other existing credit',2012,'no known savings','female div/dep/mar',good
0<=X<200,18,'existing paid',2622,100<=X<500,'male single',good
0<=X<200,36,'critical/other existing credit',2337,<100,'male single',good
0<=X<200,20,'delayed previously',7057,'no known savings','male single',good
'no checking',24,'existing paid',1469,100<=X<500,'male mar/wid',good
0<=X<200,36,'existing paid',2323,<100,'male single',good
'no checking',6,'delayed previously',932,<100,'female div/dep/mar',good
0<=X<200,9,'critical/other existing credit',1919,<100,'male single',good
'no checking',12,'existing paid',2445,'no known savings','male mar/wid',good
0<=X<200,24,'critical/other existing credit',11938,<100,'male single',bad
'no checking',18,'all paid',6458,<100,'male single',bad
0<=X<200,12,'existing paid',6078,<100,'male single',good
<0,24,'existing paid',7721,'no known savings','female div/dep/mar',good
0<=X<200,14,'existing paid',1410,500<=X<1000,'male mar/wid',good
0<=X<200,6,'delayed previously',1449,100<=X<500,'male div/sep',good
>=200,15,'existing paid',392,<100,'female div/dep/mar',good
0<=X<200,18,'existing paid',6260,<100,'male single',good
'no checking',36,'critical/other existing credit',7855,<100,'female div/dep/mar',bad
<0,12,'existing paid',1680,500<=X<1000,'male mar/wid',good
'no checking',48,'critical/other existing credit',3578,'no known savings','male single',good
<0,42,'existing paid',7174,'no known savings','female div/dep/mar',bad
<0,10,'critical/other existing credit',2132,'no known savings','female div/dep/mar',good
<0,33,'critical/other existing credit',4281,500<=X<1000,'female div/dep/mar',bad
0<=X<200,12,'critical/other existing credit',2366,500<=X<1000,'male div/sep',good
<0,21,'existing paid',1835,<100,'female div/dep/mar',bad
'no checking',24,'critical/other existing credit',3868,<100,'female div/dep/mar',good
'no checking',12,'existing paid',1768,<100,'male single',good
>=200,10,'critical/other existing credit',781,<100,'male single',good
0<=X<200,18,'existing paid',1924,'no known savings','female div/dep/mar',bad
<0,12,'critical/other existing credit',2121,<100,'male single',good
<0,12,'existing paid',701,<100,'male mar/wid',good
0<=X<200,12,'existing paid',639,<100,'male single',bad
0<=X<200,12,'critical/other existing credit',1860,<100,'male single',good
<0,12,'critical/other existing credit',3499,<100,'female div/dep/mar',bad
0<=X<200,48,'existing paid',8487,'no known savings','female div/dep/mar',good
<0,36,'delayed previously',6887,<100,'male single',bad
'no checking',15,'existing paid',2708,<100,'male single',good
'no checking',18,'existing paid',1984,<100,'male single',good
'no checking',60,'existing paid',10144,100<=X<500,'female div/dep/mar',good
'no checking',12,'critical/other existing credit',1240,'no known savings','female div/dep/mar',good
'no checking',27,'delayed previously',8613,>=1000,'male single',good
0<=X<200,12,'existing paid',766,500<=X<1000,'male single',bad
0<=X<200,15,'critical/other existing credit',2728,'no known savings','male single',good
>=200,12,'existing paid',1881,<100,'female div/dep/mar',good
>=200,6,'existing paid',709,>=1000,'male mar/wid',good
0<=X<200,36,'existing paid',4795,<100,'female div/dep/mar',good
<0,27,'existing paid',3416,<100,'male single',good
<0,18,'existing paid',2462,<100,'male single',bad
'no checking',21,'critical/other existing credit',2288,<100,'female div/dep/mar',good
0<=X<200,48,'all paid',3566,100<=X<500,'male single',good
<0,6,'critical/other existing credit',860,<100,'female div/dep/mar',good
'no checking',12,'critical/other existing credit',682,100<=X<500,'female div/dep/mar',good
<0,36,'critical/other existing credit',5371,<100,'male single',good
'no checking',18,'critical/other existing credit',1582,>=1000,'male single',good
'no checking',6,'existing paid',1346,100<=X<500,'male single',good
'no checking',10,'existing paid',1924,<100,'male single',good
>=200,36,'existing paid',5848,<100,'male single',good
0<=X<200,24,'critical/other existing credit',7758,>=1000,'female div/dep/mar',good
0<=X<200,24,'delayed previously',6967,100<=X<500,'male single',good
<0,12,'existing paid',1282,<100,'female div/dep/mar',bad
<0,9,'critical/other existing credit',1288,100<=X<500,'male single',good
<0,12,'all paid',339,<100,'male mar/wid',good
0<=X<200,24,'existing paid',3512,100<=X<500,'male single',good
'no checking',6,'critical/other existing credit',1898,'no known savings','male single',good
'no checking',24,'critical/other existing credit',2872,100<=X<500,'male single',good
'no checking',18,'critical/other existing credit',1055,<100,'female div/dep/mar',good
'no checking',15,'existing paid',1262,500<=X<1000,'male single',good
0<=X<200,10,'existing paid',7308,<100,'male single',good
'no checking',36,'existing paid',909,500<=X<1000,'male single',good
'no checking',6,'existing paid',2978,500<=X<1000,'male single',good
<0,18,'existing paid',1131,<100,'female div/dep/mar',bad
0<=X<200,11,'existing paid',1577,>=1000,'female div/dep/mar',good
'no checking',24,'existing paid',3972,<100,'female div/dep/mar',good
0<=X<200,24,'critical/other existing credit',1935,<100,'male div/sep',bad
<0,15,'no credits/all paid',950,<100,'male single',bad
'no checking',12,'existing paid',763,<100,'female div/dep/mar',good
0<=X<200,24,'delayed previously',2064,<100,'female div/dep/mar',bad
0<=X<200,8,'existing paid',1414,<100,'male single',good
<0,21,'delayed previously',3414,<100,'male single',bad
'no checking',30,'all paid',7485,'no known savings','female div/dep/mar',bad
<0,12,'existing paid',2577,<100,'male div/sep',good
<0,6,'critical/other existing credit',338,500<=X<1000,'male single',good
'no checking',12,'existing paid',1963,<100,'male single',good
<0,21,'critical/other existing credit',571,<100,'male single',good
'no checking',36,'delayed previously',9572,<100,'male div/sep',bad
0<=X<200,36,'delayed previously',4455,<100,'male div/sep',bad
<0,21,'all paid',1647,'no known savings','male single',bad
'no checking',24,'critical/other existing credit',3777,>=1000,'male single',good
0<=X<200,18,'critical/other existing credit',884,<100,'male single',bad
'no checking',15,'critical/other existing credit',1360,<100,'male single',good
0<=X<200,9,'all paid',5129,<100,'female div/dep/mar',bad
0<=X<200,16,'critical/other existing credit',1175,<100,'male single',good
<0,12,'existing paid',674,100<=X<500,'male mar/wid',bad
0<=X<200,18,'no credits/all paid',3244,<100,'female div/dep/mar',good
'no checking',24,'existing paid',4591,>=1000,'male single',bad
0<=X<200,48,'no credits/all paid',3844,100<=X<500,'male single',bad
0<=X<200,27,'existing paid',3915,<100,'male single',bad
'no checking',6,'existing paid',2108,<100,'male mar/wid',good
0<=X<200,45,'existing paid',3031,100<=X<500,'male single',bad
0<=X<200,9,'critical/other existing credit',1501,<100,'female div/dep/mar',bad
'no checking',6,'critical/other existing credit',1382,<100,'female div/dep/mar',good
0<=X<200,12,'existing paid',951,100<=X<500,'female div/dep/mar',bad
0<=X<200,24,'existing paid',2760,'no known savings','male single',good
0<=X<200,18,'delayed previously',4297,<100,'male div/sep',bad
'no checking',9,'critical/other existing credit',936,500<=X<1000,'male single',good
<0,12,'existing paid',1168,<100,'male mar/wid',good
'no checking',27,'delayed previously',5117,<100,'male single',good
<0,12,'existing paid',902,<100,'male mar/wid',bad
'no checking',12,'critical/other existing credit',1495,<100,'male single',good
<0,30,'critical/other existing credit',10623,<100,'male single',good
'no checking',12,'critical/other existing credit',1935,<100,'male single',good
0<=X<200,12,'critical/other existing credit',1424,<100,'male single',good
<0,24,'existing paid',6568,<100,'male mar/wid',good
'no checking',12,'existing paid',1413,>=1000,'male single',good
'no checking',9,'critical/other existing credit',3074,'no known savings','male single',good
'no checking',36,'existing paid',3835,'no known savings','female div/dep/mar',good
<0,27,'no credits/all paid',5293,<100,'male single',bad
>=200,30,'delayed previously',1908,<100,'male single',bad
'no checking',36,'critical/other existing credit',3342,'no known savings','male single',good
